sense	tasks	freq	in50	cover	score	opt
about_1(1)	236	50	11477/11800	0.97	293411/300900	0.975
about_2(1a)	3	28	12/84	0.14	190/1218	0.156
about_3(2)	17	50	779/850	0.92	20597/21675	0.95
about_3(2)-1	4	16	46/64	0.72	383/544	0.704
about_5(3a)	4	10	35/40	0.88	178/220	0.809
above_1(1)	7	45	110/315	0.35	2402/7245	0.332
above_10(n)	13	44	561/572	0.98	12243/12870	0.951
above_2(1a)	13	31	169/403	0.42	2939/6448	0.456
above_3(1b)	6	27	65/162	0.4	575/2268	0.254
above_4(2)	16	50	228/800	0.28	5892/20400	0.289
above_5(2a)	5	23	35/115	0.3	314/1380	0.228
above_6(2b)	6	17	44/102	0.43	226/918	0.246
above_7(2c)	3	22	54/66	0.82	615/759	0.81
above_8(2d)	8	24	82/192	0.43	1113/2400	0.464
above_9(3)	22	50	849/1100	0.77	22642/28050	0.807
across_1(1)	104	50	4868/5200	0.94	123857/132600	0.934
across_2(2)	27	50	556/1350	0.41	16156/34425	0.469
across_3(n)	10	45	287/450	0.64	7039/10350	0.68
after_1(1)	48	50	1725/2400	0.72	45335/61200	0.741
after_1(1)-1	12	50	220/600	0.37	5871/15300	0.384
after_11(n)	5	14	70/70	1.0	520/525	0.99
after_2(1a)	5	16	80/80	1.0	680/680	1.0
after_3(1b)	1	9	9/9	1.0	45/45	1.0
after_4(1c)	7	27	42/189	0.22	694/2646	0.262
after_5(2)	15	48	527/720	0.73	14067/17640	0.797
after_6(2a)	10	19	136/190	0.72	1113/1900	0.586
after_7(3)	8	34	115/272	0.42	1960/4760	0.412
after_8(4)	1	9	9/9	1.0	44/45	0.978
after_9(5)	8	20	152/160	0.95	1655/1680	0.985
against_1(1)	41	50	1413/2050	0.69	37927/52275	0.726
against_10(4)	36	50	1665/1800	0.93	42801/45900	0.932
against_11(n)	1	12	9/12	0.75	52/78	0.667
against_2(1a)	11	50	256/550	0.47	7100/14025	0.506
against_3(1b)	17	36	371/612	0.61	7319/11322	0.646
against_4(2)	6	34	52/204	0.25	772/3570	0.216
against_5(2a)	6	17	69/102	0.68	632/918	0.688
against_6(2b)	8	48	125/384	0.33	3813/9408	0.405
against_7(2c)	3	22	46/66	0.7	444/759	0.585
against_8(3)	3	30	38/90	0.42	661/1395	0.474
against_9(3a)	5	16	80/80	1.0	670/680	0.985
among_1(1)	22	50	807/1100	0.73	21025/28050	0.75
among_2(2)	27	50	780/1350	0.58	21404/34425	0.622
among_3(3)	31	50	1248/1550	0.81	31963/39525	0.809
among_4(4)	2	34	15/68	0.22	295/1190	0.248
around_1(1)	35	50	699/1750	0.4	19264/44625	0.432
around_2(1a)	12	50	364/600	0.61	10495/15300	0.686
around_3(2)	81	50	3058/4050	0.76	80151/103275	0.776
around_4(3)	18	50	219/900	0.24	5946/22950	0.259
around_4(3)-1	8	41	92/328	0.28	1870/6888	0.271
around_5(4)	30	50	886/1500	0.59	24480/38250	0.64
around_6(n)	4	20	72/80	0.9	765/840	0.911
as_1(1)	83	50	4120/4150	0.99	105284/105825	0.995
as_2(2)	1	6	6/6	1.0	17/21	0.81
as_3(n)	6	41	220/246	0.89	5019/5166	0.972
at_1(1)	112	50	4750/5600	0.85	121884/142800	0.854
at_1(1) 4(2b)	8	32	135/256	0.53	2118/4224	0.501
at_10(5a)	7	41	163/287	0.57	4127/6027	0.685
at_11(6)-1	35	50	1693/1750	0.97	43255/44625	0.969
at_12(n)	4	9	8/36	0.22	8/180	0.044
at_2(2)	29	50	940/1450	0.65	26085/36975	0.705
at_3(2a)	2	15	9/30	0.3	24/240	0.1
at_4(2b)	2	13	13/26	0.5	55/182	0.302
at_5(3)	23	50	775/1150	0.67	22734/29325	0.775
at_6(3a)	1	12	2/12	0.17	0/78	0.0
at_7(4)	9	24	74/216	0.34	869/2700	0.322
at_8(4a)	7	40	255/280	0.91	5392/5740	0.939
at_9(5)	70	50	3291/3500	0.94	84447/89250	0.946
at_9(5) 11(6)-1	3	7	9/21	0.43	16/84	0.19
before_1(1)	53	50	2572/2650	0.97	65900/67575	0.975
before_2(2)	11	31	226/341	0.66	3253/5456	0.596
before_3(2a)	12	36	341/432	0.79	5859/7992	0.733
behind_1(1)	45	50	1788/2250	0.79	46290/57375	0.807
behind_2(1a)	14	50	349/700	0.5	9552/17850	0.535
behind_3(2)	18	50	518/900	0.58	14702/22950	0.641
behind_4(2a)	15	39	265/585	0.45	6172/11700	0.528
behind_5(3)	8	28	70/224	0.31	877/3248	0.27
behind_6(3a)	10	50	234/500	0.47	6560/12750	0.515
behind_7(4)	3	7	21/21	1.0	58/84	0.69
behind_8(5)	1	11	11/11	1.0	44/66	0.667
behind_9(6)	9	15	135/135	1.0	1004/1080	0.93
below_1(1)	16	50	396/800	0.49	10570/20400	0.518
below_2(1a)	6	23	31/138	0.22	206/1656	0.124
below_3(1b)	37	50	1623/1850	0.88	42272/47175	0.896
below_4(2)	8	38	153/304	0.5	2569/5928	0.433
beneath_1(1)	31	50	826/1550	0.53	21925/39525	0.555
beneath_2(1a)	34	50	643/1700	0.38	18239/43350	0.421
beneath_3(2)	12	43	98/516	0.19	2211/11352	0.195
beneath_4(2a)	8	21	96/168	0.57	791/1848	0.428
beneath_5(2b)	3	20	45/60	0.75	375/630	0.595
beneath_6(2c)	13	50	324/650	0.5	9007/16575	0.543
beside_1(1)	70	50	3399/3500	0.97	86599/89250	0.97
beside_2(1a)	4	15	36/60	0.6	172/480	0.358
beside_3(2)	5	26	52/130	0.4	775/1755	0.442
besides_1(1)	52	50	2595/2600	1.0	66258/66300	0.999
between_1(1)	37	50	1267/1850	0.68	34495/47175	0.731
between_2(2)	10	42	206/420	0.49	5125/9030	0.568
between_3(3)	9	37	228/333	0.68	4550/6327	0.719
between_4(4)	27	50	763/1350	0.57	20284/34425	0.589
between_5(4a)	31	50	726/1550	0.47	19944/39525	0.505
between_6(4b)	13	34	181/442	0.41	2581/7735	0.334
between_7(4c)	10	50	266/500	0.53	8006/12750	0.628
between_8(5)	4	11	9/44	0.2	31/264	0.117
between_9(5a)	6	24	67/144	0.47	818/1800	0.454
beyond_1(1)	15	48	424/720	0.59	10882/17640	0.617
beyond_2(1a)	14	46	193/644	0.3	4732/15134	0.313
beyond_3(1b)	12	50	262/600	0.44	7237/15300	0.473
beyond_4(2)	9	25	102/225	0.45	938/2925	0.321
beyond_5(3)	3	26	33/78	0.42	305/1053	0.29
beyond_6(3a)	12	33	136/396	0.34	2566/6732	0.381
beyond_7(4)	10	49	206/490	0.42	6002/12250	0.49
beyond_8(4a)	7	9	34/63	0.54	140/315	0.444
beyond_9(5)	10	36	166/360	0.46	3582/6660	0.538
despite_1(1)	39	50	1950/1950	1.0	49725/49725	1.0
during_1(1)	63	50	2381/3150	0.76	61901/80325	0.771
during_2(1a)	27	50	715/1350	0.53	18978/34425	0.551
except_1(1)	22	50	1100/1100	1.0	28050/28050	1.0
for_1(1)	18	50	215/900	0.24	6767/22950	0.295
for_10(8a)	7	24	139/168	0.83	1778/2100	0.847
for_11(9)	13	41	130/533	0.24	3260/11193	0.291
for_12(10)	37	50	1397/1850	0.76	36726/47175	0.779
for_13(11)	2	6	10/12	0.83	27/42	0.643
for_14(12)	2	19	22/38	0.58	184/380	0.484
for_2(2)	45	50	920/2250	0.41	25113/57375	0.438
for_2(2)-1	37	50	1252/1850	0.68	33618/47175	0.713
for_3(3)	31	50	719/1550	0.46	20122/39525	0.509
for_4(3a)	9	48	209/432	0.48	5639/10584	0.533
for_5(4)	96	50	2814/4800	0.59	76950/122400	0.629
for_6(5)	95	50	3542/4750	0.75	91934/121125	0.759
for_7(6)	3	14	42/42	1.0	286/315	0.908
for_8(7)	3	18	18/54	0.33	201/513	0.392
for_9(8)	10	41	93/410	0.23	2388/8610	0.277
from_1(1)	124	50	4214/6200	0.68	111689/158100	0.706
from_10(7)	83	50	2768/4150	0.67	73160/105825	0.691
from_10(7)-1	11	25	172/275	0.63	2115/3575	0.592
from_11(8)	10	47	185/470	0.39	5486/11280	0.486
from_12(9)	21	50	507/1050	0.48	15041/26775	0.562
from_12(9)-1	31	50	869/1550	0.56	23109/39525	0.585
from_13(10)	34	50	936/1700	0.55	25313/43350	0.584
from_14(11)	10	50	357/500	0.71	9949/12750	0.78
from_2(1a)	6	26	58/156	0.37	730/2106	0.347
from_3(2)	5	32	99/160	0.62	1609/2640	0.609
from_4(3)	121	50	3084/6050	0.51	82228/154275	0.533
